condition,clickStatus,targetH,targetS,targetL,distr1H,distr1S,distr1L,distr2H,distr2S,distr2L,allSpeakerContents
close,target,167,83,50,180,51,50,180,83,50,seafoam teal
close,target,249,41,50,206,17,50,218,18,50,purple
close,target,161,20,50,290,0,50,104,7,50,the one with the most grren
close,target,124,55,50,90,58,50,122,36,50,"NOT dull, NOT lightest"
split,target,154,88,50,155,73,50,301,37,50,brightest teal
close,target,314,2,50,350,10,50,275,21,50,most greyish one
split,target,220,88,50,275,53,50,74,34,50,blue
split,target,283,81,50,312,34,50,231,36,50,bright purple
split,target,8,16,50,312,19,50,226,46,50,brown
far,target,245,31,50,174,75,50,326,88,50,navy blue
far,target,7,49,50,265,5,50,159,62,50,redish
close,target,88,62,50,150,72,50,73,50,50,"NOT teal, NOT ugly sandy green"
close,distr1,197,3,50,69,5,50,134,7,50,grey lol like dull metal?
close,target,75,72,50,88,91,50,64,93,50,"yea / NOT brightest green, NOT yellow"
far,target,301,50,50,341,96,50,101,84,50,purple
far,target,3,25,50,192,65,50,261,19,50,redish
far,target,113,95,50,51,82,50,332,99,50,green
split,target,200,63,50,174,18,50,300,51,50,blue
close,target,149,60,50,152,36,50,94,31,50,most greeen
far,target,26,43,50,277,2,50,119,44,50,brown
close,distr1,95,45,50,80,49,50,98,88,50,duller green
far,target,265,66,50,106,80,50,50,98,50,purple
split,target,90,54,50,71,62,50,220,17,50,green but not the yelowish one
far,target,252,84,50,201,43,50,65,71,50,bold blue
split,target,103,48,50,116,62,50,181,97,50,great working with you / duller green
split,target,287,54,50,254,92,50,93,16,50,Magenta
close,target,137,21,50,97,19,50,145,59,50,The target is the gray ish color that is more blue
far,target,10,32,50,234,74,50,45,73,50,The red one
split,target,86,50,50,157,78,50,200,84,50,The green one (not teal) almost a yellow green
split,target,134,33,50,162,67,50,201,60,50,Green (not teal or blue)
close,target,83,17,50,183,2,50,39,9,50,The grayish green/olive color
far,target,208,58,50,87,98,50,79,2,50,blue
far,target,191,85,50,138,90,50,227,64,50,The lightest blue
split,target,179,23,50,177,75,50,20,64,50,gray
split,target,168,81,50,141,69,50,274,7,50,teal
split,target,20,94,50,3,83,50,39,82,50,orange
far,target,201,52,50,337,3,50,311,63,50,blue
close,target,145,33,50,101,51,50,86,60,50,The green that has a gray cast to it
close,target,85,52,50,150,65,50,117,99,50,Olive
far,target,342,45,50,212,67,50,143,77,50,red
split,target,85,66,50,74,90,50,175,9,50,"Green.  I see gray, yellow-green and green"
far,target,165,64,50,242,9,50,303,61,50,teal
close,target,279,30,50,258,84,50,280,68,50,Grayish purple
close,target,104,12,50,205,4,50,200,11,50,olive
split,target,268,97,50,244,32,50,315,11,50,Darkest and brightest purple/royal purple
far,target,166,76,50,257,51,50,210,31,50,teal
far,target,32,22,50,190,51,50,63,88,50,brown
close,target,143,36,50,98,27,50,104,62,50,the more teal color
split,target,242,63,50,227,28,50,74,35,50,Bright blue
split,target,170,76,50,139,49,50,42,82,50,teal with more blue to it
close,distr1,162,9,50,5,1,50,185,17,50,gray gray would be the target
far,target,21,73,50,107,30,50,72,71,50,Orange
split,target,232,40,50,210,49,50,68,5,50,Darkest/Royal blue
close,target,273,4,50,59,6,50,273,1,50,This looks almost pink or purpley gray to me
far,target,220,54,50,178,25,50,40,25,50,blue
split,target,215,52,50,207,18,50,270,86,50,"Blue.  I see gray, purple and BLUE"
far,target,58,54,50,194,2,50,339,75,50,Yellow
far,target,239,13,50,7,82,50,52,71,50,Gray
far,target,54,1,50,233,75,50,176,63,50,Gray
split,target,352,7,50,19,1,50,272,64,50,This gray looks like it has a reddish or brown cast to it
split,target,116,52,50,132,37,50,49,59,50,Brightest green
close,target,101,19,50,140,37,50,99,38,50,Olive
far,target,13,7,50,11,59,50,160,60,50,gray
split,target,93,5,50,199,12,50,130,80,50,gray again (not blue or green)
far,target,267,91,50,48,73,50,191,81,50,Purple
far,target,6,55,50,282,37,50,159,6,50,red
split,target,122,47,50,166,37,50,32,18,50,It is Green
far,target,70,7,50,28,87,50,163,51,50,It is Gray
split,target,343,56,50,330,36,50,150,92,50,It is Pink
far,target,338,54,50,199,51,50,245,11,50,"Pink, again"
far,target,7,39,50,221,38,50,187,9,50,It is Peach
close,target,207,19,50,207,10,50,211,56,50,this is gray with a touch of blue
split,target,282,33,50,310,59,50,85,82,50,this is purple
close,target,321,50,50,334,15,50,315,31,50,bright pink
far,target,15,90,50,91,28,50,272,82,50,it is orange
split,target,131,64,50,82,92,50,39,87,50,grass green
split,target,290,35,50,307,27,50,48,89,50,purple with more blue
close,target,1,47,50,4,70,50,8,41,50,the red that is the middle shade
far,target,107,43,50,182,94,50,321,32,50,green
close,distr2,70,46,50,132,62,50,94,44,50,pea green
close,target,308,13,50,334,36,50,341,5,50,blue purple
close,target,316,49,50,290,28,50,282,72,50,bright pink
close,target,164,5,50,129,8,50,105,1,50,a gray with more blue
close,target,49,50,50,61,44,50,54,99,50,dull gold without the green
split,target,148,26,50,118,49,50,257,69,50,sea green
split,target,232,43,50,218,56,50,324,90,50,purple blue
close,distr1,92,14,50,136,5,50,31,7,50,green gray
split,target,195,7,50,187,18,50,139,57,50,red gray
split,target,301,36,50,332,94,50,182,38,50,purple
split,distr2,214,76,50,222,62,50,180,49,50,"bright blue, more green"
far,target,96,64,50,184,39,50,11,25,50,lime green
split,target,354,54,50,351,96,50,289,43,50,"lighter red, more peach"
split,target,321,90,50,328,65,50,26,58,50,brighter pink
split,target,174,66,50,169,96,50,4,85,50,duller of the two aquas
close,target,331,37,50,347,41,50,6,30,50,more purple in this pink
far,target,297,34,50,152,67,50,253,86,50,purple
far,target,244,92,50,192,12,50,71,24,50,blue
far,target,136,70,50,200,38,50,318,35,50,green
far,target,343,10,50,80,29,50,179,94,50,gray
far,target,258,46,50,19,2,50,1,45,50,purple
far,target,172,99,50,15,90,50,6,13,50,aqua
far,target,234,74,50,345,75,50,90,6,50,blue
close,target,160,72,50,152,45,50,116,73,50,bright aqua green
split,target,106,7,50,63,15,50,344,98,50,"gray, not taupe"
split,target,277,64,50,298,36,50,186,95,50,dark purple
close,target,213,13,50,188,19,50,224,0,50,blue gray
close,distr2,46,77,50,51,41,50,65,71,50,dark yet bright yellow
far,target,194,94,50,169,35,50,355,82,50,bright aqua
close,target,110,84,50,89,41,50,69,80,50,bright green
far,target,285,8,50,50,55,50,73,97,50,purple
split,target,303,66,50,303,29,50,37,55,50,pink
split,target,114,95,50,72,83,50,143,22,50,bright green
close,target,83,90,50,148,95,50,154,86,50,bright green
close,target,107,3,50,270,2,50,211,26,50,greener gray
far,target,349,59,50,286,28,50,101,16,50,pink
close,target,281,96,50,310,79,50,279,54,50,brighter purple
split,target,282,67,50,239,21,50,93,45,50,brighter purple
far,target,274,59,50,59,64,50,355,97,50,purple
far,target,119,89,50,47,64,50,229,57,50,green
close,distr2,314,33,50,288,78,50,327,52,50,pinkish purple
far,target,188,65,50,290,2,50,334,90,50,blue
close,target,260,58,50,287,42,50,271,52,50,blue
close,target,87,63,50,146,78,50,112,31,50,puke green color
split,target,92,48,50,70,87,50,190,3,50,green
far,target,168,48,50,21,97,50,93,74,50,teal
close,target,116,40,50,147,54,50,119,67,50,darkest green
close,target,313,43,50,292,64,50,303,19,50,pink
close,target,126,85,50,153,60,50,133,67,50,brightest green
far,target,125,32,50,319,90,50,12,8,50,green
split,target,344,69,50,0,15,50,265,71,50,red
split,target,297,42,50,322,68,50,181,30,50,purple
split,target,325,84,50,293,67,50,35,90,50,pink
close,target,255,96,50,281,43,50,272,94,50,brightest blue
far,target,253,57,50,300,75,50,231,3,50,blue
close,target,271,54,50,238,69,50,236,51,50,purple
far,target,319,9,50,326,77,50,134,92,50,grayish pink
close,target,166,62,50,122,26,50,168,43,50,brightest teal
close,target,331,46,50,357,28,50,341,60,50,purple-pink
far,target,184,11,50,242,33,50,357,41,50,grayish teal
far,target,79,10,50,26,38,50,340,55,50,green
split,target,146,85,50,134,33,50,278,3,50,bright green
close,target,94,57,50,83,40,50,137,80,50,2nd brightest green
split,target,346,88,50,357,79,50,196,22,50,pinkish red
close,target,266,19,50,327,52,50,274,52,50,grayish purple
split,target,326,69,50,324,19,50,85,90,50,pink
split,target,196,34,50,177,21,50,69,81,50,blue
close,target,285,23,50,217,7,50,224,21,50,purple
close,target,296,47,50,281,95,50,270,76,50,pinkish purple
far,target,147,73,50,190,37,50,282,93,50,bright green
far,target,330,64,50,100,6,50,179,53,50,pink
far,target,260,0,50,93,44,50,166,82,50,gray
close,target,100,2,50,35,33,50,28,11,50,gray
far,target,284,68,50,141,12,50,17,8,50,purple
close,target,94,86,50,74,36,50,95,39,50,bright green
split,target,124,32,50,92,29,50,281,6,50,brightest green
split,target,345,33,50,303,44,50,75,96,50,pinkish purple
far,target,301,53,50,190,68,50,151,1,50,purple
far,target,0,51,50,160,76,50,279,11,50,red
split,target,331,94,50,309,55,50,197,78,50,pink
split,target,234,60,50,257,34,50,103,38,50,blue
split,target,315,34,50,293,24,50,58,18,50,pinkish purple
split,target,237,41,50,223,37,50,5,64,50,bright blue
far,target,52,66,50,12,62,50,183,24,50,yellow
far,target,51,6,50,200,40,50,352,62,50,gray
split,distr1,234,33,50,250,92,50,329,78,50,darker blue
split,target,29,21,50,22,20,50,323,73,50,lighter brown
far,target,197,83,50,130,84,50,354,44,50,the blue one
split,target,301,58,50,273,66,50,179,92,50,the pink one
close,target,93,22,50,60,31,50,72,25,50,"the one that is most obviously green, not olive or yellowish"
split,distr1,79,74,50,64,54,50,197,76,50,the brighter green. not the dull yellower one
split,target,320,33,50,293,59,50,42,21,50,"the more pink one, not the brighter purple one"
far,target,30,46,50,189,9,50,4,61,50,the browinsh one
split,target,301,84,50,292,39,50,49,23,50,bright pink
far,target,2,51,50,291,3,50,125,61,50,red one
close,distr1,81,3,50,134,0,50,179,16,50,"gray, not grayish blue / the duller one, looks more silver almost"
close,target,255,22,50,217,39,50,235,43,50,purple
far,target,215,57,50,142,57,50,293,68,50,blue
close,target,322,93,50,316,98,50,332,68,50,"okay so magenta, not the brightest but not the dullest"
close,target,312,27,50,313,54,50,323,88,50,the more gray one
far,target,281,48,50,37,14,50,13,68,50,purple
close,distr1,318,88,50,303,85,50,322,35,50,brighter pink
far,target,223,49,50,271,88,50,87,34,50,"blue, I think we've only gotten two wrong so were doing good / light, the other one looks purple to me"
split,target,165,7,50,109,0,50,150,61,50,"the one that has a slight tint to it, the one not pure gray"
far,target,62,80,50,280,69,50,175,67,50,yellow
split,distr1,58,8,50,336,4,50,268,83,50,grayish brown
far,target,61,59,50,349,72,50,139,75,50,yellow
far,target,340,56,50,78,28,50,242,45,50,pink
split,target,349,46,50,322,65,50,212,41,50,redish
close,target,334,52,50,327,81,50,313,17,50,dull pink
far,target,358,53,50,213,57,50,142,32,50,red
close,target,302,93,50,315,62,50,290,94,50,brightest
split,target,302,17,50,310,60,50,57,25,50,gray
close,target,137,47,50,92,24,50,70,37,50,not the olive or yellowish one. the greenest one
split,target,212,95,50,212,33,50,324,96,50,bright blue
far,distr2,16,85,50,51,8,50,44,88,50,orange
close,target,58,21,50,102,28,50,82,54,50,browish one
split,target,127,81,50,137,40,50,12,42,50,bright green
far,target,106,19,50,33,59,50,13,76,50,blue green
close,target,253,3,50,7,21,50,355,14,50,"bluish purple, not the pure purple"
far,target,109,36,50,180,23,50,220,11,50,green
close,target,156,93,50,129,81,50,104,50,50,blue
split,target,220,96,50,202,26,50,128,98,50,bright blue
close,target,318,70,50,323,20,50,291,42,50,hyper pink
close,target,129,52,50,71,55,50,62,34,50,green not brownish or yellow
far,distr1,254,73,50,190,28,50,142,96,50,dark blue
split,target,306,24,50,347,16,50,237,43,50,brighter purple not blue
split,target,68,21,50,124,19,50,202,89,50,the yellow green one
far,target,297,31,50,155,96,50,34,94,50,purple
close,target,99,37,50,109,71,50,153,53,50,dull green
split,target,128,16,50,74,13,50,83,80,50,the blueish
close,target,220,15,50,315,9,50,287,12,50,blue
far,target,219,37,50,189,77,50,341,28,50,darker blye
split,target,230,3,50,149,7,50,359,56,50,purple blue
split,target,19,49,50,7,82,50,262,7,50,"orange red, dull one not bright"
far,target,22,61,50,78,88,50,125,21,50,red
split,target,128,17,50,141,6,50,192,61,50,"greenish, not brightest or dullest"
close,target,307,16,50,227,17,50,256,3,50,grapes
split,distr1,261,16,50,257,26,50,166,84,50,can be found in sunset. / darker
close,target,351,26,50,280,6,50,269,12,50,girly
far,target,107,49,50,358,51,50,220,17,50,grass
split,target,259,33,50,238,38,50,36,79,50,not this..again! :( / Starts with a p
close,target,333,57,50,305,69,50,190,4,50,girly color mixed with a little grey
close,target,97,54,50,86,82,50,68,56,50,closest to grass
close,target,326,82,50,351,27,50,311,17,50,bright
far,target,199,95,50,257,89,50,3,12,50,sky
far,target,112,69,50,248,35,50,4,88,50,leaves
close,target,101,79,50,143,92,50,111,63,50,bright leaves
far,target,267,91,50,306,99,50,338,69,50,berries / starts with a b
far,target,91,75,50,13,33,50,273,31,50,stems
far,distr2,121,43,50,309,71,50,51,43,50,grass... kind of
split,target,14,32,50,6,78,50,48,58,50,weird girly with grey and brown but not brown
split,target,114,62,50,155,63,50,253,69,50,grass
split,target,287,96,50,264,54,50,314,15,50,bright grapes
far,target,181,76,50,300,26,50,138,9,50,sky.. kind of
close,target,79,45,50,89,25,50,119,26,50,brighter
close,target,292,13,50,329,23,50,318,32,50,darkest
far,target,83,95,50,13,16,50,258,90,50,neon almost
close,target,12,0,50,192,23,50,173,4,50,darkest
close,target,105,60,50,95,35,50,135,67,50,bright but not pastel
split,target,136,27,50,161,58,50,11,85,50,darkest
far,target,316,41,50,86,47,50,357,5,50,bright
split,target,342,32,50,270,22,50,36,55,50,Girly mixed with grey
close,target,109,39,50,94,30,50,73,22,50,brightest
close,distr2,225,42,50,214,96,50,245,21,50,more in the middle
split,target,14,0,50,127,15,50,25,66,50,black and white together makes....
split,target,8,73,50,21,65,50,139,62,50,apples
close,target,313,34,50,296,68,50,292,14,50,not the brightest or the darkest
split,target,197,3,50,285,21,50,46,63,50,black and white makes....
far,target,51,12,50,358,48,50,99,82,50,black and white makes...
far,target,38,53,50,243,93,50,273,0,50,dirt
far,target,94,0,50,93,44,50,334,53,50,black and white makes...
split,distr1,80,4,50,17,5,50,275,20,50,black and white makes...
split,target,347,61,50,2,92,50,273,26,50,girly
close,target,301,20,50,271,7,50,329,20,50,brighter
split,target,24,88,50,15,89,50,171,96,50,citrus
far,target,221,19,50,51,85,50,348,61,50,"sky, ocean"
far,target,108,2,50,120,35,50,324,81,50,black and white....
close,distr1,305,19,50,341,18,50,341,36,50,has more white / or grey
split,target,287,71,50,258,97,50,349,61,50,grapes
split,target,339,85,50,354,65,50,110,63,50,bright and girly
split,target,82,82,50,138,50,50,12,53,50,pastel / bright
close,target,285,70,50,257,51,50,279,30,50,bright grapes
far,target,135,26,50,314,57,50,25,34,50,army / grass kind of
far,target,293,57,50,46,79,50,157,32,50,grapes
close,target,327,47,50,290,23,50,322,99,50,girly but darker. Not the darkest though
split,target,149,61,50,131,74,50,219,63,50,You are awesome!!!!! Leaves but not really / not grass
split,target,327,68,50,304,41,50,194,46,50,This color is usually associated with baby girls / brighter pink
split,target,75,20,50,134,24,50,43,65,50,this is the color of army camoflage clothes. Also the name of a food. / yes
far,target,204,38,50,299,87,50,8,95,50,the color of the sky on a clear beautiful day
close,target,71,69,50,68,36,50,101,49,50,neon with yellow in it
far,distr2,229,65,50,354,3,50,204,52,50,"birght vivid color of the sky / cobalt. not sure if robin's egg is brighter. / it is bright, not a drab"
far,target,348,32,50,224,80,50,175,43,50,rosy color
split,target,81,51,50,130,60,50,211,45,50,neon with yellow again
split,target,232,95,50,260,72,50,63,55,50,cobalt blue. Blue WITHOUT the purple
split,target,247,29,50,286,7,50,199,73,50,grape
split,target,258,5,50,198,16,50,308,68,50,purply gray
close,target,358,14,50,321,13,50,348,0,50,"not purple, deep rose / try the more orange"
close,target,298,3,50,222,21,50,264,8,50,color of an elephant / just plain gray
far,target,101,22,50,250,85,50,89,91,50,army camoflage
far,target,195,51,50,84,53,50,274,53,50,sky color
far,target,106,23,50,216,3,50,283,80,50,army color
far,target,344,32,50,86,47,50,206,86,50,rose
far,target,192,73,50,259,58,50,119,53,50,sky
close,target,69,51,50,117,67,50,82,30,50,army with yellow
split,target,78,88,50,99,84,50,245,4,50,neon with yellow
far,target,302,72,50,152,31,50,220,8,50,hot magenta
split,target,288,25,50,250,39,50,67,69,50,NOT green grapes / redder
close,target,272,23,50,233,15,50,331,18,50,"not rose, not gray blue"
close,target,287,86,50,302,37,50,321,98,50,"neon, hot purple"
far,target,219,97,50,42,85,50,7,41,50,sky
close,target,289,54,50,331,28,50,318,17,50,brightest of the three
far,target,251,50,50,89,32,50,200,20,50,cobalt bright / not the drab one
close,distr2,286,32,50,311,30,50,270,63,50,"not rose, not bluish purple"
close,target,274,89,50,250,32,50,233,50,50,"not drab blue, not sky blue"
close,target,98,54,50,75,42,50,80,17,50,neon!
far,target,302,38,50,203,60,50,225,66,50,not blue
split,target,295,9,50,331,57,50,171,46,50,"not pink, not turquoise"
close,target,164,34,50,128,35,50,160,48,50,"middle shade, sort of drab. Not grass colored"
close,target,209,39,50,204,62,50,223,14,50,"not purple, not bright, but darker shade"
far,target,39,93,50,133,53,50,203,57,50,"not green, not blue"
split,target,200,24,50,195,84,50,68,90,50,not neon yellow or neon blue
close,target,148,72,50,157,94,50,102,78,50,"darkest shade, not neon"
split,target,60,33,50,121,54,50,300,79,50,"not green, not pink"
split,target,200,75,50,185,24,50,4,51,50,"not red, not grayish blue. More neon-y"
far,target,42,84,50,113,68,50,184,2,50,"not gray, not green"
split,target,260,44,50,222,87,50,132,69,50,"not blue, not green"
close,target,283,12,50,294,39,50,238,26,50,"most muted drab color, not blue"
far,target,50,88,50,307,75,50,256,27,50,"not purple, not pink"
close,target,116,75,50,133,69,50,104,95,50,"middle shade. Not brightest neon, but more neon than color of grass."
far,target,332,37,50,192,81,50,210,69,50,not blue
split,target,331,55,50,275,30,50,28,60,50,"not purple, not orange"
split,target,318,71,50,298,58,50,68,80,50,"not green, not purple. Little girl color."
close,target,247,3,50,0,11,50,28,12,50,has some blue in it
split,target,351,32,50,335,69,50,110,76,50,not neon green or neon pink
far,target,359,81,50,211,11,50,342,15,50,color of a tomato
split,target,292,86,50,273,79,50,323,13,50,"not gray, not blue"
close,target,326,60,50,317,24,50,326,88,50,the pink that isn't as bright
split,target,309,86,50,296,26,50,240,76,50,same color pink
split,target,66,70,50,97,37,50,172,84,50,yellow
split,target,28,30,50,28,85,50,137,38,50,brown
close,target,267,48,50,283,71,50,235,88,50,"baby purple, not as bright"
far,target,298,81,50,260,88,50,128,62,50,pink
split,target,206,25,50,190,47,50,264,99,50,greyish blue
far,target,52,32,50,124,96,50,284,99,50,tan
close,target,250,47,50,265,19,50,267,57,50,blueish / darker one
close,target,232,7,50,272,7,50,336,16,50,greyer grey? haha
far,target,175,72,50,25,33,50,125,67,50,turqoise
far,target,123,94,50,282,92,50,141,32,50,bright green
far,target,229,55,50,138,15,50,297,75,50,blue
split,target,315,32,50,269,30,50,9,59,50,pink
far,target,355,8,50,304,98,50,45,95,50,grey
far,target,20,18,50,186,10,50,288,79,50,tan
close,target,63,23,50,30,2,50,35,28,50,greenish tan
close,target,300,19,50,333,36,50,332,76,50,"soft purple, not the one thats kinda pink"
close,distr1,299,44,50,308,20,50,271,43,50,pinkish purple
far,target,96,97,50,190,0,50,172,36,50,bright green
split,target,102,73,50,79,93,50,190,70,50,greener green / not the yellow / i know we're awesome lol
split,target,171,80,50,152,27,50,242,67,50,turqoise
close,target,215,28,50,267,13,50,253,18,50,bluer one
split,target,61,38,50,125,50,50,341,26,50,tanish
far,target,74,31,50,320,16,50,211,70,50,tan green
split,target,140,88,50,95,67,50,355,48,50,green err / not the neon / or / seafoam
split,target,134,34,50,121,18,50,9,63,50,green that is less dull / sorry not good with colors i guess lol
split,target,223,38,50,231,94,50,89,23,50,soft blue / purpleish
close,target,253,47,50,232,17,50,242,31,50,brightest
close,target,355,39,50,8,23,50,347,89,50,in the middle pink / not bright not too soft i mean
far,target,254,47,50,87,49,50,27,7,50,blue
split,target,127,0,50,204,40,50,115,35,50,grey
close,target,213,87,50,227,79,50,212,23,50,turqoise
close,target,117,86,50,138,68,50,157,61,50,brightest
close,target,204,6,50,208,16,50,185,30,50,hmm / the most grey one? ehh
split,target,76,21,50,180,9,50,186,85,50,tan
split,target,231,51,50,263,87,50,5,93,50,blue / mm / yeah me too lol / the not as bright blue / try that maybe
far,target,322,71,50,240,19,50,106,93,50,nice...pink
far,target,67,10,50,333,32,50,165,56,50,tan / grey
close,target,184,2,50,15,15,50,311,21,50,grey
split,target,250,9,50,311,3,50,134,15,50,kinda purple grey?
far,target,244,67,50,164,14,50,90,63,50,blue
far,target,162,97,50,25,72,50,315,83,50,green blue
close,target,79,16,50,166,31,50,106,5,50,tan
split,target,352,58,50,330,90,50,28,59,50,uh whats that color called / reddish pink
close,target,263,82,50,277,43,50,287,31,50,bluest
far,target,105,87,50,174,84,50,286,50,50,bright green
split,target,338,6,50,337,14,50,95,72,50,greyest one
close,target,253,11,50,240,1,50,332,7,50,the bluer grey
far,target,324,72,50,114,81,50,252,7,50,"pink / thanks, we did good!"
close,target,108,39,50,59,20,50,120,30,50,light green
close,distr2,259,24,50,208,12,50,226,8,50,dark purple
close,target,185,36,50,167,65,50,184,54,50,dark blue
far,target,281,68,50,112,41,50,348,93,50,purple
far,target,156,6,50,256,11,50,129,72,50,grey
far,target,317,60,50,2,19,50,237,71,50,pink
far,target,246,1,50,130,21,50,21,69,50,grey
far,target,333,77,50,354,89,50,285,95,50,pinl
far,target,88,17,50,12,81,50,345,29,50,grey
close,target,258,91,50,249,38,50,257,56,50,blue
close,target,49,52,50,71,28,50,61,38,50,yellow
split,target,90,31,50,157,73,50,162,2,50,d green
close,target,137,7,50,29,9,50,35,17,50,grey
close,target,322,39,50,298,85,50,323,68,50,d purple
split,distr1,315,2,50,254,6,50,105,40,50,grey
far,target,119,46,50,64,73,50,212,87,50,green
far,target,207,57,50,9,65,50,91,44,50,blue
split,target,230,32,50,289,36,50,2,27,50,blue
split,target,187,3,50,89,4,50,249,23,50,grey
far,target,13,29,50,79,27,50,255,16,50,red
close,target,138,99,50,73,84,50,106,66,50,bright green
split,target,155,96,50,175,98,50,69,2,50,green
far,target,66,82,50,49,1,50,291,55,50,yellow
split,target,85,21,50,39,6,50,241,28,50,green
close,target,87,56,50,66,83,50,90,81,50,green
split,target,222,42,50,208,59,50,297,61,50,dark blue
split,target,257,28,50,215,11,50,108,19,50,purple
far,target,47,62,50,156,18,50,297,32,50,yellow
close,target,219,81,50,246,49,50,230,21,50,blue
split,target,321,19,50,16,17,50,15,87,50,pink
split,target,237,74,50,238,28,50,123,52,50,blue
close,target,265,8,50,322,29,50,359,21,50,grey
split,target,277,52,50,309,46,50,46,70,50,purple
far,target,274,3,50,264,96,50,193,40,50,grey
close,target,239,23,50,246,39,50,273,78,50,grey
close,distr1,295,17,50,258,28,50,315,26,50,d purple
far,target,288,6,50,309,62,50,230,38,50,grey
far,target,251,99,50,123,21,50,186,93,50,blue
far,target,14,78,50,141,94,50,349,30,50,orange
split,target,334,73,50,296,35,50,21,44,50,red / pinl / pink
split,target,41,28,50,192,0,50,201,99,50,brown
split,target,223,29,50,216,88,50,135,11,50,d blue
split,target,137,29,50,63,10,50,339,29,50,green
close,target,97,31,50,107,74,50,157,78,50,hunter green
close,distr2,313,28,50,316,78,50,287,28,50,off purple
split,target,225,30,50,209,74,50,77,53,50,d blue
split,target,211,24,50,284,5,50,48,33,50,blue
close,target,316,73,50,322,49,50,337,36,50,bright pink
close,distr2,293,29,50,311,57,50,283,67,50,purple
far,target,188,36,50,296,68,50,133,98,50,blue
far,target,359,35,50,212,42,50,168,5,50,like red
split,target,164,77,50,126,41,50,346,0,50,aqua blue
close,target,86,53,50,94,21,50,151,41,50,bright green
split,target,112,53,50,82,34,50,58,80,50,bright green
far,target,205,39,50,320,35,50,150,63,50,blue
close,target,87,96,50,142,81,50,131,67,50,green with yellow mixture
far,target,341,19,50,217,12,50,99,72,50,pale red
close,target,136,34,50,162,27,50,125,48,50,dark green
split,target,283,89,50,297,70,50,352,13,50,violet
far,target,173,48,50,232,21,50,87,40,50,aqua green
split,distr1,326,21,50,347,63,50,90,58,50,madder red
split,target,107,27,50,111,58,50,207,33,50,dark green
split,target,215,0,50,69,12,50,215,41,50,gray
close,distr1,152,72,50,78,75,50,90,35,50,bright green
split,target,74,80,50,83,78,50,127,15,50,yellow
split,target,85,93,50,155,77,50,33,63,50,bright green
close,distr2,42,25,50,50,44,50,37,39,50,orange not bright one
split,target,313,19,50,222,15,50,55,48,50,purple
far,target,16,33,50,331,94,50,286,83,50,not red and not purple
split,target,226,30,50,206,28,50,106,26,50,blue
close,target,253,32,50,284,81,50,308,40,50,blue
split,target,122,19,50,150,66,50,180,79,50,dark green
split,target,292,36,50,242,39,50,55,75,50,red like
split,target,174,69,50,158,59,50,254,77,50,aqua
close,distr2,2,21,50,325,16,50,241,8,50,dark shade
far,target,354,67,50,213,84,50,285,89,50,red
close,target,57,25,50,142,17,50,59,15,50,green with yellow mixture
far,target,265,44,50,64,67,50,44,20,50,blue
close,distr1,284,32,50,296,40,50,250,24,50,purple
far,target,176,14,50,7,28,50,205,73,50,green
far,target,19,81,50,340,52,50,111,90,50,orange
split,target,293,17,50,277,33,50,66,26,50,not purple and not green like
far,target,110,4,50,166,95,50,243,35,50,green and gray mixture / not aqua not blue
far,target,169,64,50,32,92,50,120,77,50,aqua
split,distr1,70,43,50,87,68,50,36,30,50,green with yellow mixture
far,target,9,41,50,163,80,50,63,72,50,red
split,target,102,76,50,98,55,50,340,54,50,bright green (light like)
close,distr2,101,86,50,137,57,50,78,93,50,bright green (light like)
far,target,185,42,50,72,87,50,328,87,50,blue
close,target,144,92,50,93,75,50,154,59,50,2nd quality green light
far,target,147,21,50,302,63,50,358,25,50,green like
close,target,116,40,50,144,57,50,73,40,50,pure green
far,target,23,39,50,138,17,50,224,43,50,red like
close,target,30,30,50,1,15,50,119,1,50,red like (yellow)
close,target,300,83,50,319,27,50,287,75,50,pink (light)
close,target,234,25,50,245,6,50,287,20,50,blue
far,target,68,32,50,283,65,50,336,25,50,green like
split,target,293,40,50,317,22,50,253,83,50,purple
close,distr1,267,43,50,203,19,50,265,23,50,bvblue
far,target,147,79,50,168,4,50,302,74,50,green
split,target,298,74,50,297,49,50,20,49,50,the fushia pink box. / hi
close,target,138,49,50,127,59,50,160,94,50,the darker not so bright green
close,target,8,10,50,332,4,50,105,3,50,the more pinkish looking
far,target,158,40,50,313,33,50,208,0,50,green
close,target,122,83,50,103,43,50,155,55,50,bright green
far,target,12,92,50,209,35,50,250,65,50,red
far,target,253,96,50,134,94,50,212,3,50,blue
far,target,208,55,50,298,93,50,352,23,50,blue
close,target,110,54,50,130,79,50,68,64,50,olive looking green and darker
far,target,234,75,50,53,56,50,27,2,50,blue
far,target,214,77,50,58,74,50,178,82,50,dark blue
split,distr1,96,42,50,74,37,50,12,41,50,darker of the greens
split,target,123,84,50,69,75,50,233,76,50,green / sorry
far,target,328,90,50,283,81,50,102,66,50,pink
split,target,140,80,50,138,29,50,277,84,50,bright green
far,target,23,36,50,295,83,50,219,16,50,orangish rust
close,target,109,48,50,119,25,50,91,28,50,bright green
split,target,60,10,50,183,13,50,71,82,50,brown tan
close,target,276,21,50,222,33,50,214,18,50,purple
far,target,128,88,50,7,52,50,227,56,50,green
far,target,74,69,50,298,50,50,38,4,50,green
close,distr1,319,79,50,335,97,50,320,36,50,pink that is not bright but has abright tint to it
